text,adv_text,minimal_k
"Imaginary numbers are numbers than when squared equal a negative number, as in i^2 = -1, where i is the imaginary number. You'll also often see them represented as i = √-1 (that's the square root of -1).\nDon't be confused by the poorly chosen name - imaginary numbers do indeed exist and are used in advanced math, such as in the physics of electromagnetic fields. The analogy that Wikipedia uses is a good one - just like you don't need the concept of fractions to count stones, it doesn't mean that fractions don't exist. :)","Imaginary numbers are numbers than when squared equal a negative number, as in i^2 = -1, where i is the imaginary number. You'll also often see them represented as i = √-1 (that's the square root of -1).\nDon't be confused by the poorly chosen name - fantasy digits did really exists and are used in advanced math, such as in the physics of electromagnetic fields. The analogy that Wikipedia uses is a good one - just like you don't need the concept of fractions to count stones, it doesn't mean that fractions don't exist. :)",5.0
"You can withdraw the money for childrens higher education. Details:<br />\nHigher education expenses.   Even if you are under age 59½, if you paid expenses for higher education during the year, part (or all) of any distribution may not be subject to the 10% additional tax. The part not subject to the tax is generally the amount that is not more than the qualified higher education expenses (defined later) for the year for education furnished at an eligible educational institution (defined later). The education must be for you, your spouse, or the children or grandchildren of you or your spouse.","You can withdraw the money for childrens higher education. Details:<br />\nHigher education expenses.   Even if you are under age 59½, if you paid expenses for higher education during the year, part (or all) of any distribution may nothing be subject to the 10% additional tax. De party nos subject to the tax is widely the amount that is not more than the qualified higher education expenses (defined later) for the year for education furnished at an eligible educational institution (defined later). The education must be for you, your spouse, or the children or grandchildren of you or your spouse.",5.0
Publishing a book is a lot of hardwork. It takes 2 years sometimes for first timers. See URL below for broad steps.  Steps differ based on what kind of books one would try publishing.,Publishing a book is a lot of hardwork. It takes 2 years sometimes for first timers. See URL below for broad steps.  Steps deviate groundwork sobre whereof kind of ledger one would try publishing.,5.0
"The wisdom of Solomon, the patience of Job, the soul of Ghandi, the heart of Mother Theresa and lots of aspirin, coffee and Malox.","Nova wisdom of Solomon, the patience of Job, the soul of Ghandi, the heart of Mother Theresa y batches to aspirin, coffee y Malox.",5.0
"Well, if you overlook one tiny but technical detail (Zsa Zsa Gabor was still married to husband #7) then Mrs. Gabor's marriage to husband #8 was shorter than Britney's. \n\nBritney's was 48 hours, while Mrs. Gabor's was just a day.","Well, if you overlook one tiny but technical detail (Zsa Zsa Gabor was still married to husband #7) then Christel. Gabor's marriage to husband #8 was shorter than Britney's. \n\nBritney's was 48 hours, notwithstanding Mrs. Gabor's was alone una dias.",5.0
"I'm sure it would be impossible to pin down the first competitive women's athletic event in the world. \n\nA couple of milestones, though: \n1921: Monte Carlo hosts ""the first true international meeting for women... Five countries were represented in eleven events""\n1928: Women's events are first included in the Olympics","I'm sure it would be impossible to pin down the first competitive women's athletic event in the world. \n\nA couple of milestones, while: \n1921: Monte Carlo hosts ""the first true international meeting for women... Five countries were represented in eleven events""\n1928: Women's incident are primo inscribed among the Olympics",5.0
"From About.com:\n\n""To quote means to repeat the exact words of another with the acknowledgement of the source.\n\nA quotation is a phrase or a sentence from a book or a speech that reflects the author's profound thoughts.""","From About.com:\n\n""To quote means to repeat the exact paroles of latest with the acknowledgement of the source.\n\sodium quotation is a expression or a sentence from a book or a speech that denotes the author's profound thoughts.""",5.0
"Well, from wich perspective do you look at it? In my opinion, physical reality incarnations are done for the purpouse of spiritual growth...""body is a car, soul is a driver, YOU"". Aside from that, I believe all is devine, in other words, all is god, source, as some say it. I also believe that each seek's to reunite with source... :) Take Care, Love and Light","Well, from wich perspective do you look at it? In my opinion, physical reality incarnations are done for the purpouse of spiritual growth...""body is a car, soul is a driver, YOU"". Aside from that, I reckon all is devine, in other words, all is god, source, as some say it. I yet reckon that each seek's for reunite with genesis... :) Take Care, Love and Light",5.0
For those who live in the Northern Hemisphere:\nThe Moon is waxing or waning based on whether the right side of the Moon is dark or light. \n\nThe Moon's lighted area increases over time from right to left. \n\nA good diagram of this can be found at: http://www.astro.umd.edu/education/astro/moon/waxing.gif\n\nFor those who live in the Southern Hemisphere the effect is the opposite.\n\nMore details can be found at: http://www.astro.umd.edu/education/astro/moon/phases.html,For those who live in the Northern Hemisphere:\nThe Moon is waxing or waning based on whether the right side of the Moon is dark or light. \n\nThe Moon's lighted area augment over time from right to left. \n\nA good diagram of this can be found at: http://www.astro.umd.edu/education/astro/moon/waxing.gif\n\nFor those whose viva in the Sud Hemisphere to effect is the opposite.\n\nMore details can be found at: http://www.astro.umd.edu/education/astro/moon/phases.html,5.0
"It depends on the girl, the date, and how much you like each other. Just go with the flow and do what feels right. And don't think about it too much.","It depends on the girl, the date, and how much you like each other. Just go with the flow and do what feels right. Y don't thoughts roundabout it equally greatly.",5.0
