text,adv_text,minimal_k
"Iran #39;s heavy water plant to be operational within month: official TEHRAN, Oct 27 (AFP) - Iran said Wednesday a heavy water plant will go online within a month near the central city of Arak, despite international pressure for Tehran to suspend such nuclear-related activities.","Iran #39;s heavy water plant to be operational within month: formally TEHRAN, Oct 27 (AFP) - Iran said Wednesday a heavy agua plant will go online within a month near the central city of Arak, notwithstanding international tension for Tehran to suspend such nuclear-related activities.",4.0
"Microsoft Cracks Down on Xbox Changes Game Stop employee Lisa Hargreaves pulls out a stack of games for waiting customers at the University Mall in Davis Calif., at the stroke of midnight Nov. 9, 2004, as fans lined up to get first crack at the \$50 sequel from Microsoft Corp.","Microsoft Crack Down on Xbox Amend Games Halts employee Lisa Hargreaves pulls out a stack of games for waiting customers at the University Mall in Davis Calif., at the stroke of midnight Nov. 9, 2004, as fans lined up to get first crack at the \$50 sequel from Microsoft Corp.",4.0
"Mine blast kills 33, injures 6 in Henan Thirty-three people were confirmed dead in a gas explosion, which also injured six, at a coal mine in Central China #39;s Henan Province on Friday, according to local safety authorities.","Mine blast kills 33, injures 6 into Henan Thirty-three people were corroborating dead in a gas explosion, which also injured six, at a coal mine in Central China #39;s Henan Province on Friday, conforming of local safety authorities.",4.0
"Tom Cruise, Oprah Co-Host Nobel Concert LOS ANGELES (Zap2it.com) - Following his role as a hired killer in  quot;Collateral, quot; Tom Cruise will host this year #39;s Nobel Peace Prize concert.","Tom Cruise, Oprah Co-Host Nobel Concert LOS ANGELES (Zap2it.com) - Following his role as a hired killer onto  quot;Collateral, quot; Tom Cruise will host this leto #39;s Prize Peace Prize tandem.",4.0
"Baghdad Car Bomb Death Toll Rises to 13 - Ministry  BAGHDAD (Reuters) - At least 13 Iraqis were killed in a  suicide car bomb attack on a major police checkpoint in central  Baghdad on Friday, an Interior Ministry spokesman said.","Baghdad Car Bomb Death Toll Rises to 13 - Ministry  BAGHDAD (Reuters) - Into fewest 13 Iraqis were murdering in a  suicide car bomb attack on a major police checkpoint in central  Baghdad on Friday, an Interior Ministry spokesman stated.",4.0
Tech Digest Dell Inc. said yesterday that it plans to let people who buy its personal computers upgrade for \$39 from a traditional Microsoft Corp.,Tech Digest Dell Inc. affirmed yesterday that it plans to let people who procured its personal computers upgrade during \$39 from una traditional Microsoft Corp.,4.0
"Firefox version 1.0 released The alternative browser, developed (and continually re-developed) by a network of programmers, is available for free download from the non-profit Mozilla Foundation website.","Firefox version 1.0 released Du surrogates browser, phrased (and continually re-developed) by a network of programmers, is availability for free download from the non-profit Mozilla Foundation website.",4.0
"Christmas cheer to flow from OPEC oil price cuts DRIVERS can look forward to cheaper petrol in the new year, with price cuts expected of up to 10c a litre. Oil ministers of the Organisation of Petroleum Exporting Countries (OPEC) agreed in Cairo on Friday ","Christmas cheer to flow from OPEC oil price cuts DRIVERS can look forward to cheaper petrol in the new year, with price cuts expected of up to 10c a litre. Oil ministers of the Organisation of Petroleum Exporting Countries (OPEC) embraced into Egyptian sobre Friday ",4.0
"PGA Taps Tom PALM BEACH GARDENS, Fla. -- Tom Lehman, a member of three Ryder Cup Teams and winner of the 1996 British Open Championship, has been selected by The Professional Golfers #39; Association of America to captain the 2006 US Ryder Cup Team.","PGA Taps Tom PALM BEACH GARDENS, Fla. -- Tom Lehman, a member of three Ryder Cup Teams and winner of the 1996 British Open Championship, has been selected by The Professional Golfers #39; Association of America to kapitan the 2006 US Raider Goblet Teams.",4.0
"Boeing Converts 737 Into Bomber The squat little mainstay of the airline industry will become a fierce weapon for the Navy. The plane's new mission: to patrol the seas for submarines, then blow them to smithereens with bombs and missiles. Chris Genna reports from Seattle.","Boeing Converts 737 Into Bomber The squat little mainstay of the airline industry will become una fierce weapon for the Navy. The plane's novel mission: to patrol the seas into submarines, thus blow them to smithereens with bombs and missiles. Chris Genna reports from Seattle.",4.0
